"SERIES","Producción y exportaciones de cobre. BD00301","Producción y exportaciones de cobre. BD00302","Producción y exportaciones de cobre. BD00303","Producción y exportaciones de cobre. BD00304"
"DESCRIPCIÓN","Producción de cobre de mina. Total","Producción de cobre de mina. Acumulado","Exportaciones de cobre. Total","Exportaciones de cobre. Acumulado"
"UNIDAD","Miles de tonelada de fino","Miles de tonelada de fino","Miles de tonelada de fino","Miles de tonelada de fino"
"ENE2000","383.6","383.6","354.7","354.7"
"FEB2000","355.8","739.4","341.8","696.5"
"MAR2000","398.8","1138.2","455","1151.5"
"ABR2000","391.5","1529.7","268.8","1420.3"
"MAY2000","388.9","1918.6","447.6","1867.9"
"JUN2000","346.3","2264.9","341","2208.9"
"JUL2000","396.4","2661.3","415.6","2624.5"
"AGO2000","371.6","3032.9","409.3","3033.8"
"SEP2000","369.1","3402","328.5","3362.3"
"OCT2000","409.8","3811.8","419.3","3781.6"
"NOV2000","395.6","4207.4","323.7","4105.3"
"DIC2000","394.6","4602","367.7","4473"
"ENE2001","381.5","381.5","430.6","430.6"
"FEB2001","355.8","737.3","349.1","779.7"
"MAR2001","395.3","1132.6","352.2","1131.9"
"ABR2001","374.8","1507.4","405.5","1537.4"
"MAY2001","413.7","1921.1","399","1936.4"
"JUN2001","379.9","2301","355.3","2291.7"
"JUL2001","404.6","2705.6","363.8","2655.5"
"AGO2001","404.3","3109.9","480.4","3135.9"
"SEP2001","401.2","3511.1","333.2","3469.1"
"OCT2001","417.1","3928.2","495","3964.1"
"NOV2001","396.1","4324.3","351.7","4315.8"
"DIC2001","414.7","4739","333.7","4649.5"
"ENE2002","379.4","379.4","419.8","419.8"
"FEB2002","339.1","718.5","355.2","775"
"MAR2002","384.5","1103","355.5","1130.5"
"ABR2002","357.5","1460.5","378.9","1509.4"
"MAY2002","396.8","1857.3","363.3","1872.7"
"JUN2002","376.8","2234.1","457.4","2330.1"
"JUL2002","345","2579.1","342.5","2672.6"
"AGO2002","381.5","2960.6","338.7","3011.3"
"SEP2002","366.8","3327.4","296.8","3308.1"
"OCT2002","389.9","3717.3","446.6","3754.7"
"NOV2002","395.1","4112.4","410.9","4165.6"
"DIC2002","468.2","4580.6","336.6","4502.2"
"ENE2003","391.5","391.5","470.3","470.3"
"FEB2003","371.9","763.4","375.3","845.6"
"MAR2003","422.6","1186","342.7","1188.3"
"ABR2003","387.1","1573.1","392.5","1580.8"
"MAY2003","408.8","1981.9","374.2","1955"
"JUN2003","416.4","2398.3","413.9","2368.9"
"JUL2003","427.4","2825.7","395.3","2764.2"
"AGO2003","388.6","3214.3","402.8","3167"
"SEP2003","397.8","3612.1","350","3517"
"OCT2003","423.8","4035.9","429.8","3946.8"
"NOV2003","410.8","4446.7","383.9","4330.7"
"DIC2003","457.5","4904.2","356.8","4687.5"
"ENE2004","384.7","384.7","358.8","358.8"
"FEB2004","387.1","771.8","365.9","724.7"
"MAR2004","438.1","1209.9","539.7","1264.4"
"ABR2004","436","1645.9","462.7","1727.1"
"MAY2004","453.6","2099.5","527.5","2254.6"
"JUN2004","448.8","2548.3","393.5","2648.1"
"JUL2004","474.4","3022.7","476.3","3124.4"
"AGO2004","465.8","3488.5","523.7","3648.1"
"SEP2004","451.6","3940.1","366","4014.1"
"OCT2004","486.9","4427","536.3","4550.4"
"NOV2004","467.5","4894.5","364","4914.4"
"DIC2004","518","5412.5","571.2","5485.6"
"ENE2005","430.4","430.4","411.5","411.5"
"FEB2005","367","797.4","333.1","744.6"
"MAR2005","447.2","1244.6","561.8","1306.4"
"ABR2005","408.7","1653.3","432.1","1738.5"
"MAY2005","456","2109.3","396.7","2135.2"
"JUN2005","407.2","2516.5","503.7","2638.9"
"JUL2005","417.8","2934.3","413.2","3052.1"
"AGO2005","469.5","3403.8","474.6","3526.7"
"SEP2005","431.9","3835.7","445.8","3972.5"
